,Skills
0,database
0,javascript
0,agile
0,linux
0,server
0,node.js
0,git
0,json
0,css
0,redis
0,java
0,aws
0,html
0,mysql
0,xml
0,sql
0,aurora
0,jquery
1,data_lake
1,cloud
1,python
1,spark
1,github
1,warehousing
1,t-sql
1,ci/cd
1,sql
1,apache
1,azure
1,scala
1,coding
2,mongo
2,oracle
2,microsoft
2,css
2,javascript
2,html
2,agile
2,mysql
2,coding
2,programming
2,hadoop
2,asp.net
2,sql
2,nosql
2,node
2,js
2,c
3,agile
3,excel
4,excel
4,back-end
4,ios
4,swift
4,programming
5,data_lake
5,cloud
5,data_lakes
5,python
5,hadoop
5,devops
5,spark
5,iot
5,aws
5,pyspark
5,redshift
5,etl
5,sql
5,nosql
5,machine_learning
6,database
6,pl/sql
6,cloud
6,javascript
6,agile
6,node.js
6,git
6,scrum
6,json
6,programming
6,devops
6,microsoft
6,java
6,xml
6,nosql
6,kanban
6,go
6,azure
7,data_lake
7,database
7,python
7,hadoop
7,ibm
7,oracle
7,microsoft
7,sql
8,python
8,programming
8,etl
8,postgresql
8,linux
8,sql
8,nosql
8,go
9,r
9,scala
9,powershell
9,c++
9,java
9,python
9,tableau
9,sql
9,powerbi
9,c
10,cloud
10,programming
10,microsoft
10,aws
10,go
10,azure
11,outlook
12,ci/cd
12,cloud
12,python
12,programming
12,linux
12,docker
13,cloud
13,power_bi
13,python
13,gcp
13,programming
13,aws
13,sql
13,azure
14,excel
15,excel
16,database
16,javascript
16,linux
16,server
16,c
16,oracle
16,aws
16,mysql
16,postgresql
16,sql
16,machine_learning
17,sap
17,bi
17,ibm
17,saas
17,github
17,redshift
17,tableau
17,sql
17,atlassian
17,powerbi
18,cloud
18,power_bi
18,agile
18,bi
18,tableau
18,etl
18,sql
19,
20,
21,excel
22,javascript
23,graphql
23,datadog
23,python
23,docker
23,saas
23,redis
23,golang
23,go
23,postgres
24,graphql
24,ci/cd
24,node
24,nosql
25,backend
25,java
26,scrum
26,java
26,aws
26,agile
27,database
27,javascript
27,agile
27,html5
27,css
27,c
27,java
28,python
28,node.js
28,mongodb
28,go
28,coding
28,postgres
29,cloud
29,aws
29,azure
30,cloud
30,python
30,hadoop
30,gcp
30,spark
30,aws
30,machine_learning
31,microsoft
31,excel
32,oracle
32,database
32,microsoft
32,unix
32,ibm
32,java
32,shell
32,mysql
32,programming
32,xml
32,sql
32,server
32,c
33,r
33,python
33,programming
33,sql
33,ai
33,machine_learning
34,database
34,word
34,python
34,bi
34,r
34,powerpoint
34,outlook
34,tableau
34,sql
34,excel
35,javascript
35,agile
35,python
35,scrum
35,programming
35,php
35,c
35,ci/cd
35,java
35,selenium
35,swift
35,coding
36,json
36,sql
36,server
36,c
37,javascript
37,node.js
37,mongodb
37,java
37,postgres
38,cloud
38,golang
38,programming
39,microsoft
39,cloud
39,aws
39,devops
39,azure
40,back-end
40,oracle
40,saas
40,java
40,javascript
40,mysql
40,python
40,programming
40,linux
40,sql
41,scrum
41,gdpr
41,agile
41,tableau
41,snowflake
41,bi
41,ai
41,machine_learning
42,r
42,saas
42,twilio
42,unix
42,paas
43,graphql
43,datadog
43,python
43,docker
43,saas
43,redis
43,golang
43,postgres
44,git
44,scrum
44,airflow
44,cloud
44,java
44,pyspark
44,agile
44,python
44,tableau
44,etl
44,mongo
44,cognos
44,hadoop
44,nosql
44,bi
44,powerbi
45,saas
45,excel
46,database
46,agile
46,scrum
46,programming
46,c
46,microsoft
46,sql
46,c++
46,coding
47,cloud
47,microsoft
47,java
47,aws
47,sql
47,go
47,azure
47,coding
48,unix/linux
48,alteryx
48,database
48,ssis
48,scrum
48,pl/sql
48,cloud
48,unix
48,dax
48,json
48,shell
48,power_bi
48,sas
48,aws
48,agile
48,redshift
48,python
48,tableau
48,etl
48,looker
48,xml
48,vb.net
48,aurora
48,snowflake
48,sql
48,server
48,bi
48,azure
48,c
49,cloud
49,aws
49,azure
50,
51,excel
51,oracle
51,sap
52,graphql
52,datadog
52,python
52,docker
52,saas
52,redis
52,golang
52,go
52,postgres
53,cloud
53,saas
53,aws
53,python
54,github
54,git
54,microsoft
54,cloud
54,java
54,aws
54,agile
54,coding
54,programming
54,cicd
54,sql
54,server
54,azure
54,c
55,database
55,datadog
55,cloud
55,javascript
55,agile
55,jira
55,saas
55,mongodb
55,c
55,java
55,sql
55,azure
55,jquery
56,agile
56,saas
56,css
56,programming
56,backend
56,aws
56,postgresql
57,excel
57,oracle
57,sap
58,sql
59,graphql
59,cloud
59,agile
59,jira
59,bitbucket
59,git
59,scrum
59,programming
60,excel
60,database
60,microsoft
60,sharepoint
61,cloud
61,agile
61,server
61,powershell
61,scrum
61,programming
61,oracle
61,microsoft
61,mysql
61,etl
61,postgresql
61,sql
61,kanban
61,vba
62,r
62,data_lake
62,github
62,microsoft
62,dax
62,sas
62,python
62,tableau
62,programming
62,jira
62,hadoop
62,machine_learning
62,powerbi
62,azure
63,
64,
65,python
65,php
65,spark
65,tableau
65,sql
65,excel
65,powerbi
66,
67,saas
67,slack
67,sql
67,excel
68,cloud
68,power_bi
68,tableau
68,sql
68,bi
68,machine_learning
69,agile/scrum
69,javascript
69,agile
69,html5
69,node.js
69,git
69,saas
69,css
69,mongodb
69,ci/cd
69,html
69,machine_learning
70,cloud
70,golang
70,programming
71,python
71,git
71,programming
71,c
71,github
71,java
71,xml
71,c++
72,microsoft
72,cloud
73,cloud
73,ruby
73,agile
73,python
73,asp.net
73,powershell
73,devops
73,c
73,github
73,microsoft
73,ci/cd
73,shell
73,aws
73,kanban
73,azure
73,unix
74,oracle
74,database
74,git
74,backend
74,microsoft
74,frontend
74,ci/cd
74,cloud
74,java
74,css
74,aws
74,html
74,coding
74,programming
74,postgresql
74,aurora
74,asp.net
74,docker
74,c
75,ios
75,ruby
76,
77,scrum
77,cloud
77,javascript
77,ruby
77,aws
77,agile
77,python
77,programming
77,linux
77,go
78,data_lake
78,python
78,devops
78,spark
78,backend
78,ci/cd
78,java
78,aws
78,mysql
78,redshift
78,scala
79,cloud
79,aws
79,azure
80,cloud
80,splunk
81,excel
81,microsoft
81,powerpoint
82,cloud
82,aws
82,azure
83,excel
83,spreadsheets
83,word
83,powerpoint
